"person";"txt"
"Ross";"Ok, I'm off to talk to my unborn child."
"Monica";"Ah!"
"Ross";"Ok, Mom never hit."
"Phoebe";"(stirring pot) Ok, all done."
"Monica";"What, Phoebe, did you whip the potatoes? Ross needs lumps!"
"Phoebe";"Oh, I'm sorry, oh, I just, I thought we could have them whipped and thenadd some peas and onions."
"Monica";"Why would we do that?"
"Phoebe";"Well, 'cause then they'd be like my mom used to make them, you know,before she died."
"Monica";"Ok, three kinds of potatoes coming up."
"Rachel";"Ok, good-bye you guys. Thanks for everything. (she starts to leave, andhits everyone with her skis) Oh, sorry! Oh, sorry!"
"Chandler";"The most unbelievable thing has happened. Underdog has just gottenaway."
"Joey";"The balloon?"
"Chandler";"No, no, the actual cartoon character. Of course the balloon. It's allover the news. Right before he reached"
"Rachel";"I can't, I gotta go."
"Chandler";"Come on. An 80-foot inflatable dog let loose over the city. How oftendoes that happen?"
"Phoebe";"Almost never."
"Monica";"Got the keys?"
"Rachel";"Ok."
"Carol";"Anytime you're ready."
"Ross";"Ok, ok, here we go. (he crouches down near her stomach) Ok, where am Italking to, here? I mean, uh, well, there is one way that seems to offer a certainacoustical advantage, but..."
"Carol";"Just aim for the bump."
"Ross";"Ok, ok, ok, ok, here goes. You know, I, you know, can't do this. Uh, thisis too weird. I feel stupid."
"Carol";"So don't do it, it's fine. You don't have to do it just because Susandoes it."
"Ross";"(quickly talking) Hello, baby. Hello, hello."
"Rachel";"I loved the moment when you first saw the giant dog shadow all over thepark."
"Phoebe";"Yeah, but did they have to shoot him down? I mean, that was just mean."
"Monica";"Ok, right about now the turkey should be crispy on the outside, juicy onthe inside. Why are we standing here?"
"Rachel";"We're waiting for you to open the door. You got the keys."
"Monica";"No I don't."
"Rachel";"Yes, you do. When we left, you said, "got the keys.""
"Monica";"No I didn't. I asked, "got the ke-eys?""
"Rachel";"No, no, no, you said, "got the keys"."
"Chandler";"Do either of you"
"Monica";"(panicked) The oven is on."
"Rachel";"Oh, I gotta get my ticket!"
"Joey";"Wait, wait, we have a copy of your key."
"Monica";"Well then get it, get it!"
"Joey";"That tone will not make me go any faster."
"Monica";"(angry) Joey!"
"Joey";"That one will."
"Ross";"And everyone's telling me, you gotta pick a major, you gotta pick a major.So, on a dare, I picked paleontology. And you have no idea what I'm saying, because, let'sface it, you're a fetus. You're just happy you don't have gills anymore."
"Carol";"Look, you don't have to talk to it. You can sing to it if you want."
"Ross";"Oh, please. I am not singing to your stomach, ok?"
"Susan";"Hi, how's it goin?"
"Ross";"Shh! (singing)"
"Carol";"I did."
"Ross";"Does it always, uh--?"
"Carol";"No, no that was the first."
"Susan";"Keep singing! Keep singing!"
"Ross";"(singing)"
"Susan";"I felt it!"
"Ross";"(singin)"
"Joey";"Nope, not that one."
"Monica";"Can you go any faster with that?"
"Joey";"Hey, I got one keyhole and about a zillion keys. You do the math."
"Monica";"Why do you guys have so many keys in there anyway?"
"Chandler";"(sarcastic) For an emergency just like this."
"Rachel";"(grabs Chandler by the shirt) All right, listen, smirky. If it wasn'tfor you and your stupid balloon, I would be on a plane watching a woman do this (makes agesture like a stewardess pointing out exits) right now. But I'm not."
"Monica";"I swear you said you had the keys."
"Rachel";"No, I didn't. I wouldn't say I had the keys unless I had the keys, and Iobviously didn't have the keys."
"Phoebe";"Ooh, ok, that's it. Enough with the keys. No one say keys."
"Monica";"Why would I have the keys?"
"Rachel";"Aside from the fact that you said you had them?"
"Monica";"But I didn't."
"Rachel";"Well, you should have."
"Monica";"Why?"
"Rachel";"Because!"
"Monica";"Why?"
"Rachel";"Because!"
"Monica";"Why? Because everything is my responsibility? Isn't it enough that I'mmaking Thanksgiving dinner for everyone? You know, everyone wants a different kind ofpotatoes, so I'm making different kinds of potatoes. Does anybody care what kind ofpotatoes I want? Nooooo, no, no! (starting to cry) Just as long as Phoebe gets her peasand onions, and Mario gets his tots, and it's my first Thanksgiving, and it's all burned,and, and I... I..."
"Chandler";"Ok, Monica, only dogs can hear you now, so, look, the door's open.Here we go."
"Monica";"Well, the turkey's burnt. (checking pots) Potatoes are ruined, potatoesare ruined, potatoes are ruined."
"Ross";"Here we come, walkin' down the—this doesn't smell like Mom's."
"Monica";"No, it doesn't, does it? But you wanted lumps, Ross? (picks up the panof badly burnt potatoes) Well, here you go, buddy, ya got one."
"Rachel";"Oh, god, this is great! The plane is gone, so it looks like I'm stuckhere with you guys."
"Joey";"Hey, we all had better plans. This was nobody's first choice."
"Monica";"Oh, really? So why was I busting my ass to make this deliciousThanksgiving dinner?"
"Joey";"You call that delicious?"
"Monica";"Stop it, stop it, stop it!"
"Chandler";"Now this feels like Thanksgiving."
"Phoebe";"Ooh."
"Rachel";"What?"
"Phoebe";"Ugly Naked Guy's taking his turkey out of the oven. Oh my god. He's notalone. Ugly Naked Guy's having Thanksgiving dinner with Ugly Naked Gal."
"Joey";"I've gotta see this. All right Ugly Naked Guy!"
"Monica";"Ooh, Ugly Naked Dancing!"
"Phoebe";"It's nice that he has someone."
"Chandler";"Shall I carve?"
"Rachel";"By all means."
"Chandler";"Ok, who wants light cheese, and who wants dark cheese?"
"Ross";"I don't even wanna know about the dark cheese."
"Monica";"(holding sandwich) Does anybody wanna split this with me?"
"Joey";"Oh, I will."
"Phoebe";"Ooh, you guys have to make a wish."
"Monica";"Make a wish?"
"Phoebe";"Come on, you know, Thanksgiving. Ooh, you got the bigger half. What'dyou wish for?"
"Joey";"The bigger half."
"Chandler";"I'd like to propose a toast. Little toast here, ding ding. I know thisisn't the kind of Thanksgiving that all of you all planned, but for me, this has beenreally great, you know, I think because it didn't involve divorce or projectile vomiting.Anyway, I was just thinking, I mean, if you'd gone to Vail, and if you guys'd been withyour family, if you didn't have syphilis and stuff, we wouldn't be all together, you know?So I guess what I'm trying to say is that I'm very thankful that all of your Thanksgivingssucked."
"All";"That's so sweet."
"Ross";"And hey, here's to a lousy Christmas."
"Rachel";"And a crappy New Year."
"Chandler";"Here, here!"
"Ross";"Guys? There's a somebody I'd like you to meet."
"All";"Oooh!"
"Monica";"W-wait. What is that?"
"Ross";"'That' would be Marcel. You wanna say hi?"
"Monica";"No, no, I don't."
"Rachel";"Oh, he is precious! Where did you get him?"
"Ross";"My friend Bethel rescued him from some lab."
"Phoebe";"That is so cruel! Why? Why would a parent name their child Bethel?"
"Chandler";"Hey, that monkey's got a Ross on its ass!"
"Monica";"Ross, is he gonna live with you, like, in your apartment?"
"Ross";"Yeah. I mean, it's been kinda quiet since Carol left, so..."
"Monica";"Why don't you just get a roommate?"
"Ross";"Nah, I dunno... I think you reach a certain age, having a roommate iskinda pathe- (Realises) ....sorry, that's, that's 'pathet', which is Sanskrit for 'reallycool way to live'."
"Phoebe";"So you guys, I'm doing all new material tonight. I have twelve new songsabout my mother's suicide, and one about a snowman."
"Chandler";"Might wanna open with the snowman."
"All";"Hey, Joey. Hey, buddy."
"Monica";"So, how'd it go?"
"Joey";"Ahhhhhh, I didn't get the job."
"Ross";"How could you not get it? You were Santa last year."
"Joey";"I dunno. Some fat guy's sleeping with the store manager. He's not evenjolly, it's all political."
"Monica";"So what are you gonna be?"
"Joey";"Ah, I'm gonna be one of his helpers. It's just such a slap in the face,y'know?"
"Rachel";"Hey, do you guys know what you're doing for New Year's? (They allprotest and hit her with cushions) Gee, what?! What is wrong with New Year's?"
"Chandler";"Nothing for you, you have Paolo. You don't have to face the horriblepressures of this holiday: desperate scramble to find anything with lips just so you canhave someone to kiss when the ball drops!! Man, I'm talking loud!"
"Rachel";"Well, for your information, Paolo is gonna be in Rome this New Year, soI'll be just as pathetic as the rest of you."
"Phoebe";"Yeah, you wish!"
"Chandler";"It's just that I'm sick of being a victim of this Dick Clark holiday.I say this year, no dates, we make a pact. Just the six of us- dinner."
"All";"Yeah, okay. Alright."
"Chandler";"Y'know, I was hoping for a little more enthusiasm."
"All";"Woooo! Yeah!"
"Rachel";"Phoebe, you're on."
"Phoebe";"Oh, oh, good."
"Rachel";"(Into microphone) Okay, hi. Ladies and gentlemen, back by populardemand, Miss Phoebe Buffay. Wooh!"
"Phoebe";"(Takes mike) Thanks, hi. Um, I wanna start with a song that means a lotto me this time of year. (Shakes bell as an introduction) (Sung:)"
"Phoebe";"(Sung)"
"Phoebe";"(Sung)"
"Max";"No. No, that's- that's okay."
"Phoebe";"Well, c'mon, if it's important enough to discuss while I'm playing, thenI assume it's important enough for everyone else to hear!"
"Chandler";"(Quietly, to the others) That guy's going home with a note!"
"David";"Noth- I was- I was just saying to my-"
"Phoebe";"Could you speak up please?"
"David";"(Stands up and speaks more loudly) Sorry, I wa- I was just saying to myfriend that I thought you were the most beautiful woman that I'd ever seen in my- in mylife. And then he said that- you said you thought"
"Max";"Daryl Hannah."
"David";"Daryl Hannah was the most beautiful woman that he'd ever seen in his lifeand I said yeah, I liked her in Splash, a lot, but not so much in- in Wall Street, Ithought she had kind of a"
"Max";"Hard quality."
"David";"-hard quality. And uh, while Daryl Hannah is beautiful in a conventionalway, you are luminous with a kind of a delicate grace. Then, uh, that-that-that's when youstarted yelling. (Sits down)"
"Phoebe";"Okay, we're gonna take a short break. (Goes over to their table)"
"Joey";"Hey, that guy's going home with more than a note!"
"Ross";"Come here, Marcel. Sit here. (Marcel wanders off)"
"Rachel";"Pheebs, I can't believe he hasn't kissed you yet. I mean God, by mysixth date with Paolo, I mean he had already named both my breasts! ...Ooh. Did I justshare too much?"
"Ross";"Just a smidge."
"Phoebe";"David's like, y'know, Scientist Guy. He's very methodical."
"Monica";"I think it's romantic."
"Phoebe";"Me too! Oh! Did you ever see An Officer and a Gentleman?"
"Rachel";"Yeah!"
"Phoebe";"Well, he's kinda like the guy I went to see that with. Except, excepthe-he's smarter, and gentler, and sweeter... I just- I just wanna be with him all thetime. Day and night, and night and day... and special occasions..."
"Chandler";"Wait a minute, wait a minute, I see where this is going, you're gonnaask him to New Year's, aren't you. You're gonna break the pact. She's gonna break thepact."
"Phoebe";"No, no, no, no, no, no. Yeah, could I just?"
"Chandler";"Yeah, 'cause I already asked Janice."
"Monica";"What?!"
"Ross";"C'mon, this was a pact! This was your pact!"
"Chandler";"I snapped, okay? I couldn't handle the pressure and I snapped."
"Monica";"Yeah, but Janice? That-that was like the worst breakup in history!"
"Chandler";"I'm not saying it was a good idea, I'm saying I snapped!"
"Joey";"Hi. Hi, sorry I'm late."
"Chandler";"Too many jokes... must mock Joey!"
"Joey";"Nice shoes, huh? (He wiggles his foot and the bells tinkle)"
"Chandler";"Aah, y'killing me!"
"Monica";"Ross! He's playing with my spatulas again!"
"Ross";"Okay, look, he's not gonna hurt them, right?"
"Monica";"Do you always have to bring him here?"
"Ross";"I didn't wanna leave him alone. Alright? We- we had our first fight thismorning. I think it has to do with my working late. I said some things that I didn't mean,and he- he threw some faeces..."
"Chandler";"Y'know, if you're gonna work late, I could look in on him for you."
"Ross";"Oh, that'd be great! Okay, but if you do, make sure it seems like you'rethere to see him, okay, and you're not like doing it as a favour to me."
"Chandler";"Okay, but if he asks, I'm not going to lie."
"David";"...But, you can't actually test this theory, because today's particleaccelerators are nowhere near powerful enough to simulate these conditions."
"Phoebe";"Okay, alright, I have a question, then."
"David";"Yuh."
"Phoebe";"Um, were you planning on kissing me ever?"
"David";"Uh, that's definitely a, uh, valid question. And, uh, the answer would be(Writes YES on the board) yes. Yes I was. But, see, I wanted it to be this phenomenal kissthat happened at this phenomenal moment, because, well, 'cause it's you."
"Phoebe";"Sure."
"David";"Right. But, see, the longer I waited, the more phenomenal the kiss had tobe, and now we've reached a place where it's just gotta be one of those things where Ijust like... sweep everything off the table and throw you down on it. And, uh, I'm notreally a, uh, sweeping sorta fella."
"Phoebe";"Oh, David, I, I think you are a sweeping sorta fella. I mean, you're asweeper! ...trapped inside a physicist's body."
"David";"Rrrreally."
"Phoebe";"Oh, yeah, oh, I'm sure of it. You should just do it, just sweep andthrow me."
"David";"...Now? Now?"
"Phoebe";"Oh yeah, right now."
"David";"Okay, okay, okay. (Gets ready to sweep, and then picks up a laptopcomputer) Y'know what, this was just really expensive. (Puts it down elsewhere. Then picksup a microscope) And I'll take- this was a gift. (Moves it)"
"Phoebe";"Okay, now you're just kinda tidying."
"David";"Okay, what the hell, what the hell. (Sweeps the remaining papers off thedesk and grabs Phoebe) You want me to actually throw you or you-you wanna just hop?"
"Phoebe";"I can hop. (She hops onto the table)"
"Ross";"So tell me something. What does the phrase 'no date pact' mean to you?"
"Monica";"I'm sorry, okay. It's just that Chandler has somebody, and Phoebe hassomebody- I thought I'd ask Fun Bobby."
"Chandler";"Fun Bobby? Your ex-boyfriend Fun Bobby?"
"Monica";"Yeah."
"Joey";"You know more than one Fun Bobby?"
"Chandler";"I happen to know a Fun Bob."
"Rachel";"(Brings Joey a mug of coffee) Okay, here we go..."
"Joey";"Ooh ooh ooh ooh, there's no room for milk!"
"Rachel";"(Glances at Joey and then sips his coffee) There. Now there is."
"Ross";"Okay, so on our no-date evening, three of you now have dates."
"Joey";"Uh, four."
"Ross";"Four."
"Rachel";"Five."
"Ross";"Five. (Buries his head in his hands)"
"Rachel";"Sorry. Paolo's catching an earlier flight."
"Joey";"Yeah, and I met this really hot single mom at the store. What's an elf todo?"
"Ross";"Okay, so I'm gonna be the only one standing there alone when the balldrops?"
"Rachel";"Oh, c'mon. We'll have, we'll have a big party, and no-one'll know who'swith who."
"Ross";"Hey, y'know, this is so not what I needed right now."
"Monica";"What's the matter?"
"Ross";"Oh, it's-it's Marcel. He keeps shutting me out, y'know? He's walkingaround all the time dragging his hands..."
"Chandler";"That's so weird, I had such a blast with him the other night."
"Ross";"Really."
"Chandler";"Yeah, we played, we watched TV.. that juggling thing is amazing."
"Ross";"What, uh... what juggling thing?"
"Chandler";"With the balled-up socks? I figured you taught him that."
"Ross";"No."
"Chandler";"Y'know, it wasn't that big a deal. He just balled up socks... and amelon..."
"Max";"Phoebe. Hi."
"Phoebe";"Oh, hi Max! Hey, do you know everybody?"
"Max";"No. Have you seen David?"
"Phoebe";"No, no, he hasn't been around."
"Max";"Well, if you see him, tell him to pack his bags. We are going to Minsk."
"Phoebe";"Minsk?"
"Max";"Minsk. It's in Russia."
"Phoebe";"I know where Minsk is."
"Max";"We got the grant. Three years, all expenses paid."
"Phoebe";"So when, when do you leave?"
"Max";"January first."
"Phoebe";"Hello?"
"David";"Hey!"
"Phoebe";"Hi."
"David";"Hi! (Kisses her) What-what're you doing here?"
"Phoebe";"Um, well, Max told me about Minsk, so (Puts on a fake cheery voice)congratulations! This is so exciting!"
"Max";"It'd be even more exciting if we were going."
"Phoebe";"Oh, you're not going? (Fake disappointed voice) Oh, why?"
"Max";"Tell her, David. 'I don't wanna go to Minsk and work with Lifson andYamaguchi and Flench, on nonononononono. I wanna stay here and make out with mygirlfriend!!' (Storms out)"
"David";"Thank you, Max. Thank you."
"Phoebe";"So-so you're really not going?"
"David";"I don't know. I don't know what I'm gonna do. I just- you decide."
"Phoebe";"Oh don't do that."
"David";"Please."
"Phoebe";"Oh no no."
"David";"No, but I'm asking-"
"Phoebe";"Oh, but I can't do that-"
"David";"No, but I can't-"
"Phoebe";"It's your thing, and-"
"David";"-make the decision-"
"Phoebe";"Okay, um, stay."
"David";"Stay."
"Phoebe";"Stay."
"Phoebe";"Getting so good at that! (She hops on)"
"David";"It was Max's stuff. (They kiss)"
"Janice";"I love this artichoke thing! Oh, don't tell me what's in it, the dietstarts tomorrow! (Laughs her Janice laugh)"
"Chandler";"You remember Janice."
"Monica";"Vividly."
"Monica";"Hi."
"Sandy";"Hi, I'm Sandy."
"Joey";"Sandy! Hi! C'mon in! (She enters, followed by a young boy and a youngergirl)...You brought your kids."
"Sandy";"Yeah. That's okay, right?"
"Ross";"Par-tay!"
"Monica";"That thing is not coming in here."
"Ross";"'That thing'? This is how you greet guests at a party? Let me ask yousomething, if I showed up here with my new girlfriend, she wouldn't be welcome in yourhome?"
"Monica";"I'm guessing your new girlfriend wouldn't urinate on my coffee table."
"Ross";"Okay. He was more embarrassed about that than anyone. Okay? And for him tohave the courage to walk back in here like nothing happened..."
"Monica";"Alright. Just keep him away from me."
"Ross";"Thank you. (She walks off) C'mon, Marcel, whaddya say you and I do alittle mingling? (Marcel runs off) Alright, I'll, uh... catch up with you later."
"Monica";"Oh my gosh! Rachel, honey.. are you okay? Where-where's Paolo?"
"Rachel";"Rome. Jerk missed his flight."
"Phoebe";"And then... your face is bloated?"
"Rachel";"No. Okay. I was at the airport, getting into a cab, when this woman-this blonde planet with a pocketbook- starts yelling at me. Something about how it was hercab first. And then the next thing I know she just starts- starts pulling me out by myhair! So I'm blowing my attack whistle thingy and three more cabs show up, and as I'mgoing to get into a cab she tackles me. And I hit my head on the kerb and cut my lip on mywhistle...oh...everybody having fun at the party? (To Monica) Are people eating my dip?"
"Sandy";"Y'know, when I saw you at the store last week, it was probably the firsttime I ever mentally undressed an elf."
"Joey";"Wow, that's, uh, dirty."
"Sandy";"Yeah."
"Joey";"Hey, kids..."
"Ross";"(Watching Marcel play with Phoebe. To Chandler) Look at him. I'm notsaying he has to spend the whole evening with me, but at least check in."
"Janice";"(Startles them) There you are! Haaah, you got away from me!"
"Chandler";"(Imitating) But you found me!"
"Janice";"Here, Ross, take our picture. (Hands him a camera and he startssnapping) Smile! You're on Janice Camera!"
"Chandler";"Kill me. Kill me now."
"Monica";"Hey everybody! It's Fun Bobby!"
"Fun Bobby";"Hey, sorry I'm late. But my, uh, grandfather, he- died about twohours ago. But I-I-I couldn't get a flight out 'til tomorrow, so here I am!"
"Joey";"(Approaching) Hey Fun Bobby! Whoah! Who died?"
"Fun Bobby";"It's gonna be an open casket, y'know, so at least I'll- I get to seehim again."
"Janice";"(Ross is still taking their photo) Oh, I'm gonna blow this one up, andI'm gonna write 'Reunited' in glitter."
"Chandler";"Alright, Janice, that's it! Janice... Janice... Hey, Janice, when Iinvited you to this party I didn't necessarily think that it meant that we-"
"Janice";"Oh, no. Oh, no."
"Chandler";"I'm sorry you misunderstood..."
"Janice";"Oh my God. You listen to me, Chandler, you listen to me. One of thesetimes is just gonna be your last chance with me. (She runs off)"
"Chandler";"Oh, will you give me the thing. (Snatches the camera)"
"Phoebe";"Hi, Max!"
"Max";"Yoko. (To David) I've decided to go to Minsk without you."
"David";"Wow."
"Max";"It won't be the same- but it'll still be Minsk. Happy New Year.(Walks off)"
"Phoebe";"Are you alright?"
"David";"Yeah, I'm fine, I'm fine."
"Phoebe";"You're going to Minsk."
"David";"No, I'm... not going to Minsk."
"Phoebe";"Oh, you are so going to Minsk. You belong in Minsk. You can't stay herejust 'cause of me."
"David";"Yes I can. Because if I go it means I have to break up with you, and Ican't break up with you."
"Phoebe";"Oh yes, yes, yes you can. Just say, um, 'Phoebe, my work is my life andthat's what I have to do right now'. And I say 'your work?! Your work?! How can you saythat?!'. And then you say, um, 'it's tearing me apart, but I have no choice. Can't youunderstand that?'. And I say (Hits him) 'no! No! I can't understand that!'."
"David";"Uh, ow."
"Phoebe";"Ooh, sorry. Um, and, and then you put your arms around me. And then youput your arms around me. (He does so) And, um, and then you tell me that you love me andyou'll never forget me."
"David";"I'll never forget you."
"Phoebe";"And then you say that it's almost midnight and you have to go becauseyou don't wanna start the new year with me if you can't finish it. (They kiss) I'm gonnamiss you. You scientist guy."
"Dick Clark";"(on TV) Hi, this is Dick Clark, live in Times Square. We're in avirtual snowstorm of confetti here in Times Square..."
"Joey";"There y'go, kids."
"Chandler";"(To a woman who he has clearly just met) And then the peacock bit me.(Laughs) Please kiss me at midnight. (She leaves)"
"Joey";"You seen Sandy?"
"Chandler";"Ooh. Uh, I don't know how to tell you this, but she's in Monica'sbedroom, getting it on with Max, that scientist geek. Ooh, look at that, I did know how totell you."
"Rachel";"Vrrbddy, the bll is drrbing."
"Rachel";"The bll is drrbing!"
"Dick Clark";"(on TV) In twenty seconds it'll be midnight..."
"Chandler";"And the moment of joy is upon us."
"Joey";"Looks like that no date pact thing worked out."
"Phoebe";"Everybody looks so happy. I hate that."
"Monica";"Not everybody's happy. Hey Bobby!"
"Chandler";"Y'know, I uh.. just thought I'd throw this out here. I'm no math whiz,but I do believe there are three girls and three guys right here. (Makes kiss noise)"
"Phoebe";"I dunno. I don't feel like kissing anyone tonight."
"Rachel";"I can't kiss anyone."
"Monica";"So I'm kissing everyone?"
"Joey";"Nonono, you can't kiss Ross, that's your brother."
"Ross";"Perfect. Perfect. So now everybody's getting kissed but me."
"Chandler";"Alright, somebody kiss me. Somebody kiss me, it's midnight! Somebodykiss me!"
"Joey";"Alrightalrightalright. (Kisses him. Ross takes a photo) There."
"Ross";"(Watching Marcel and talking to Rachel) I wanted this to work so much. Imean I'm still in there, changing his diapers, pickin' his fleas... but he's just phoningit in. Just so hard to accept the fact that something you love so much doesn't love youback."
"Phoebe";"Do you think they have yesterday's daily news?"
"Monica";"Why?"
"Phoebe";"Just wanna check my horoscope, see if it was right."
"Monica";"Oh my God. (Grabs Phoebe and turns her away) Phoebe. Don't look now, butbehind us is a guy who has the potential to break our hearts and plunge us into a pit ofdepression."
"Phoebe";"Where? (Turns to face him) Ooh, come to Momma."
"Monica";"He's coming. Be cool, be cool, be cool."
"Phoebe";"We should do something. Whistle."
"Monica";"We are not going to whistle."
"Phoebe";"Come on, do it."
"Monica";"No!"
"Phoebe";"Do it!"
"Monica";"No!"
"Phoebe";"Do it do it do it!"
"Monica";"(Shouts to the guy) Woo-woo!"
"Phoebe";"I can't believe you did that!"
"Monica";"Why did I 'woo-hoo'? I mean, what was I hoping would happen? That-thathe'd turn round and say 'I love that sound, I must have you now'?"
"Phoebe";"I just wish there was something we could do. (Bends down and talks tohim) Hello. Hello, Coma Guy. GET UP, YOU GIRL SCOUT! UP! UP! UP!"
"Monica";"Phoebe, what are you doing?"
"Phoebe";"Maybe nobody's tried this."
"Monica";"I wish we at least knew his name... Look at that face. I mean, evensleeping, he looks smart. I bet he's a lawyer."
"Phoebe";"Yeah, but did you see the dents in his knuckles? That means he'sartistic."
"Monica";"Okay, he's a lawyer, who teaches sculpting on the side. And- he candance!"
"Phoebe";"Oh! And, he's the kinda guy who, when you're talking, he's listening,y'know, and not saying 'Yeah, I understand' but really wondering what you look like naked."
"Monica";"I wish all guys could be like him."
"Phoebe";"I know."
"Chandler";"Are there no conscious men in the city for you two?"
"Monica";"He doesn't have anyone."
"Phoebe";"Yeah, we-we feel kinda responsible."
"Joey";"I can't believe you said woowoo. I don't even say woowoo."
"Rachel";"Oh, she's coming up! She's coming up! (Turns on the TV)"
"Jay Leno";"(on TV) Folks, when we come back we'll be talking about her new book,'Euphoria Unbound': the always interesting Nora Tyler Bing. You might wanna put the kidsto bed for this one."
"Chandler";"Y'know, we don't have to watch this."
"Rachel";"No way, forget it."
"Joey";"C'mon, she's your mom!"
"Chandler";"Exactly."
"Rachel";"Chandler, I gotta tell you, I love your mom's books! I love her books! Icannot get on a plane without one! I mean, this is so cool!"
"Chandler";"Yeah, well, you wouldn't think it was cool if you're eleven years oldand all your friends are passing around page 79 of 'Mistress Bitch.'"
"Ross";"C'mon, Chandler, I love your mom. I think she's a blast."
"Chandler";"You can say that because she's not your mom."
"Ross";"Oh, please..."
"Paolo";"Bona sera."
"Rachel";"Oh, hi sweetie. (They kiss)"
"Ross";"When did Rigatoni get back from Rome?"
"Monica";"Last night."
"Ross";"Ah, so then his plane didn't explode in a big ball of fire?... Just adream I had- but, phew."
"Phoebe";"Hey hey hey! She's on!"
"Paolo";"Ah! Nora Bing!"
"Jay Leno";"(on TV) ...Now what is this about you-you being arrested i-in London?What is that all about?"
"Phoebe";"Your mom was arrested?"
"Chandler";"Shhh, busy beaming with pride."
"Mrs. Bing";"(on TV) ...This is kind of embarrassing, but occasionally after I'vebeen intimate with a man..."
"Chandler";"Now why would she say that's embarrassing?"
"All";"Shhh."
"Mrs. Bing";"(on TV) ...I just get this craving for Kung Pow Chicken."
"Chandler";"THAT'S TOO MUCH INFORMATION!!"
"Jay Leno";"(on TV) Alright, so now you're doing this whole book tour thing, howis that going?"
"Mrs. Bing";"(on TV) Oh, fine. I'm leaving for New York tomorrow, which I hate-but I get to see my son, who I love..."
"All";"Awww!"
"Chandler";"This is the way that I find out. Most moms use the phone."
"Jay Leno";"(on TV) Y'know, don't take this wrong, I-I just don't see you a-as amom, somehow.. I don't mean that, I don't mean that bad..."
"Mrs. Bing";"(on TV) Oh no, I am a fabulous mom! I bought my son his firstcondoms."
"Chandler";"...And then he burst into flames."
"Monica";"Let's see. Congress is debating a new deficit reduction bill... themayor wants to raise subway fares again... the high today was forty-five... and- oh, teamsplayed sports."
"Phoebe";"What about Glen? He could be a Glen."
"Monica";"Nah... not-not special enough."
"Phoebe";"Ooh! How about Agamemnon?"
"Monica";"Waaay too special."
"Mrs. Bing";"I am famished. What do I want... (Looks at Chandler's menu)"
"Chandler";"Please God don't let it be Kung Pow Chicken."
"Mrs. Bing";"Oh, you watched the show! What'd you think?"
"Chandler";"Well, I think you need to come out of your shell just a little."
"Ross";"(Entering) What is this dive? Only you could've picked this place."
"Mrs. Bing";"Oooh, c'mon, shut up, it's fun. Gimme a hug. (They both sit down)Well, I think we're ready for some tequila."
"Chandler";"I know I am."
"Mrs. Bing";"Who's doing shots?"
"Monica";"Yeah."
"Phoebe";"I'm in."
"Mrs. Bing";"There y'go. Ross?"
"Ross";"Uh, I'm not really a shot drinking kinda guy."
"Rachel";"Hi! Sorry- sorry we're late, we, uh, kinda just, y'know, lost track oftime."
"Ross";"...But a man can change. (Downs a shot)"
"Ross";"Anyone want me to appraise anything?"
"Rachel";"Mrs. Bing, I have to tell you, I've read everything you've ever written.No, I mean it! I mean, when I read Euphoria at Midnight, all I wanted to do was become awriter."
"Mrs. Bing";"Oh, please, honey, listen, if I can do it, anybody can. You juststart with half a dozen European cities, throw in thirty euphemisms for male genitalia,and bam! You have got yourself a book."
"Chandler";"Myyy mother, ladies and gentlemen."
"Mrs. Bing";"Yeah, any messages for room 226?"
"Mrs. Bing";"You okay there, slugger?"
"Ross";"Yeah, I'm fine, I'm fine. (A woman emerges from the toilet behind him andhe tries to pretend he was in the other one)"
"Mrs. Bing";"What is with you tonight?"
"Ross";"Nothing. Nothing nothing nothing."
"Mrs. Bing";"(To phone) Okay, thank you. (To Ross) It's the Italian Hand-Licker,isn't it."
"Ross";"No. It's the one he's licking."
"Mrs. Bing";"She's supposed to be with you."
"Ross";"You're good."
"Mrs. Bing";"Oh, Ross, listen to me. I have sold a hundred million copies of mybooks, and y'know why?"
"Ross";"The girl on the cover with her nipples showing?"
"Mrs. Bing";"No. Because I know how to write men that women fall in love with.Believe me, I cannot sell a Paolo. People will not turn three hundred twenty-five pagesfor a Paolo. C'mon, the guy's a secondary character, a, y'know, complication youeventually kill off."
"Ross";"When?"
"Mrs. Bing";"He's not a hero. ...You know who our hero is."
"Ross";"The guy on the cover with his nipples showing?"
"Mrs. Bing";"No, it's you!"
"Ross";"Please."
"Mrs. Bing";"No, really, c'mon. You're smart, you're sexy..."
"Ross";"Right."
"Mrs. Bing";"You are gonna be fine, believe me."
"Ross";"Uh-oh..."
"Joey";"Uhhhh.... I'll just pee in the street."
"Ross";"Hey, is Chandler here?"
"Joey";"Yeah."
"Ross";"Okay, uh, about last night, um, Chandler.. you didn't tell... (Joey shakeshis head) Okay, 'cause I'm thinking- we don't need to tell Chandler, I mean, it was just akiss, right? One kiss? No big deal? Right?"
"Joey";"Right. No big deal."
"Ross";"Okay."
"Joey";"In Bizarro World!! You broke the code!"
"Ross";"What code?"
"Joey";"You don't kiss your friend's mom! Sisters are okay, maybe a hot-lookin'aunt... but not a mom, never a mom!"
"Chandler";"What are you guys doing out here?"
"Ross";"Uh.. uh.. Well, Joey and I had discussed getting in an early morningracquetball game. But, um, apparently, somebody overslept."
